Date,United Kingdom
2022-01-04,13722579
2022-01-05,13917693
2022-01-06,14099839
2022-01-07,14280081
2022-01-08,14422121
2022-01-09,14564390
2022-01-10,14708454
2022-01-11,14825809
2022-01-12,14957778
2022-01-13,15064277
2022-01-14,15164861
2022-01-15,15246208
2022-01-16,15316987
2022-01-17,15406943
2022-01-18,15501453
2022-01-19,15609692
2022-01-20,15717846
2022-01-21,15814339
2022-01-22,15891933
2022-01-23,15967194
2022-01-24,16062685
2022-01-25,16157980
2022-01-26,16260425
2022-01-27,16357612
2022-01-28,16446952
2022-01-29,16519771
2022-01-30,16582687
2022-01-31,17430856
2022-02-01,17543963
2022-02-02,17631560
2022-02-03,17727264
2022-02-04,17809884
2022-02-05,17870485
2022-02-06,17924207
2022-02-07,17988154
2022-02-08,18054899
2022-02-09,18122879
2022-02-10,18287353
2022-02-11,18346213
2022-02-12,18392169
2022-02-13,18433372
2022-02-14,18475111
2022-02-15,18521452
2022-02-16,18575733
2022-02-17,18628702
2022-02-18,18676361
2022-02-19,18715582
2022-02-20,18746592
2022-02-21,18785333
2022-02-22,18826968
2022-02-23,18867585
2022-02-24,18906546
2022-02-25,18938546
2022-02-26,18938546
2022-02-27,18938546
2022-02-28,19021076
2022-03-01,19120746
2022-03-02,19166049
2022-03-03,19211944
2022-03-04,19256835
2022-03-05,19256835
2022-03-06,19256835
2022-03-07,19383743
2022-03-08,19446892
2022-03-09,19515547
2022-03-10,19600293
2022-03-11,19673347
2022-03-12,19673347
2022-03-13,19673347
